14,7,8,5,6,10,6,13,2,2,1,10,0,0,
15,3,15,1,3,2,3,25,1,2,1,14,1,0,
16,5,6,3,0,4,12,20,1,1,0,12,0,0,
18,5,12,3,3,13,9,12,0,5,3,8,2,0,
28,3,11,3,4,5,9,11,4,5,2,22,0,0,
31,5,4,0,5,4,6,17,8,4,0,36,0,1,
39,5,5,6,12,3,35,23,18,9,7,35,5,3,
168,8,22,18,147,7,85,104,75,17,13,80,0,1,
225,8,35,24,90,22,39,90,90,0,73,92,2,0,
237,17,58,27,59,16,89,48,59,1,50,156,1,0,
177,12,86,47,64,11,55,45,78,4,29,121,0,0,
546,5,93,16,84,37,106,69,88,4,35,165,1,1,
115,4,22,25,50,19,190,47,23,0,33,89,1,1,
245,5,20,15,35,45,93,29,34,1,11,62,4,1,
303,4,17,17,39,12,81,67,21,0,41,69,0,10,
701,8,22,30,34,6,44,66,51,2,53,140,4,1,
442,6,18,12,16,16,46,41,77,12,3,82,6,0,
801,2,6,19,86,95,59,103,22,5,14,135,3,3,
496,5,29,23,159,13,68,48,23,38,10,80,0,9,
816,4,22,12,121,11,41,87,17,1,5,109,0,1,
667,1,17,11,43,10,32,83,13,4,56,123,0,4,
552,12,10,18,25,4,128,84,5,1,82,99,1,2,
248,15,9,106,18,5,67,80,3,0,84,160,0,0,
421,12,110,41,31,8,102,64,13,4,65,107,1,1,
251,69,67,30,232,6,101,62,13,8,140,211,3,1,
171,27,128,30,425,23,90,156,24,28,142,196,5,3,
120,12,53,36,104,13,67,15,7,4,125,158,16,2,
111,4,150,38,41,8,85,29,5,52,312,152,11,1,
62,6,21,33,49,7,60,38,14,13,204,152,9,1,
95,3,23,25,63,9,140,26,9,4,213,215,13,0,
45,8,7,233,117,7,50,132,2,6,158,90,1,0,
39,11,15,179,81,17,64,60,6,6,61,77,1,0,
81,2,4,186,89,3,18,42,3,21,4,225,2,0,
65,0,6,111,107,3,11,105,9,1,15,166,0,0,
320,5,14,59,62,16,4,231,16,1,12,166,1,1,
328,8,16,95,55,6,8,140,1,7,4,315,0,2,
339,4,16,41,64,5,12,75,3,0,10,260,2,0,
31,21,9,48,69,6,65,65,7,6,7,152,3,1,
27,17,13,53,80,7,17,45,3,27,2,75,4,1,
32,0,198,62,19,45,11,37,8,8,12,25,72,0,
59,4,232,51,33,14,3,49,27,60,12,13,22,1,
73,4,10,56,78,9,5,120,22,3,14,38,26,0,
70,4,3,68,129,9,12,146,25,0,14,39,2,10,
55,1,0,128,26,3,0,39,4,3,10,12,6,0,
99,2,4,132,72,6,2,95,14,1,12,31,7,0,
98,4,1,160,68,7,3,69,7,4,5,18,0,0,
141,7,3,128,84,10,1,112,3,4,16,29,1,0,
91,0,5,133,267,8,5,306,9,2,11,2,2,0,
121,2,5,146,187,10,5,256,7,1,10,2,4,1,
136,2,6,51,232,9,11,228,10,0,24,2,3,0,
180,1,3,46,516,8,4,792,59,5,12,5,2,0,
92,3,5,29,401,16,12,524,25,9,15,12,3,0,
154,6,9,30,323,22,2,395,41,1,10,8,5,0,
